X Y Z VX VY VZ
1300.5369700866365 2027.1837853227057 2539.5136325608837 0 0 0
1300.8265544984836 2026.9979736420626 2539.5136325608837 0 0 0
1301.11611236285 2026.8121205941134 2539.5136325608837 0 0 0
1301.4056436738265 2026.6262261826519 2539.5136325608837 0 0 0
1301.6951484255044 2026.440290411471 2539.5136325608837 0 0 0
1301.9846266119746 2026.2543132843666 2539.5136325608837 0 0 0
1302.2740782273304 2026.0682948051333 2539.5136325608837 0 0 0
1273.2985640807576 2043.9749856825747 2539.8576780232784 0 0 0
1273.5905475134482 2043.7930650314368 2539.8576780232784 0 0 0
1273.8825049544944 2043.611102670237 2539.8576780232784 0 0 0
1274.1744363979394 2043.4290986026879 2539.8576780232784 0 0 0
1274.466341837824 2043.2470528325043 2539.8576780232784 0 0 0
1274.7582212681912 2043.0649653634014 2539.8576780232784 0 0 0
1275.050074683085 2042.882836199095 2539.8576780232784 0 0 0
1275.3419020765484 2042.7006653433025 2539.8576780232784 0 0 0
1275.6337034426265 2042.5184527997412 2539.8576780232784 0 0 0
1275.925478775364 2042.33619857213 2539.8576780232784 0 0 0
1276.217228068805 2042.1539026641883 2539.8576780232784 0 0 0
1276.5089513169976 2041.9715650796363 2539.8576780232784 0 0 0
1276.8006485139865 2041.7891858221951 2539.8576780232784 0 0 0
1277.0923196538195 2041.6067648955873 2539.8576780232784 0 0 0
1277.383964730544 2041.4243023035353 2539.8576780232784 0 0 0
1277.6755837382084 2041.2417980497628 2539.8576780232784 0 0 0
1277.96717667086 2041.0592521379947 2539.8576780232784 0 0 0
1278.2587435225498 2040.876664571956 2539.8576780232784 0 0 0
1278.5502842873261 2040.6940353553732 2539.8576780232784 0 0 0
1278.8417989592394 2040.5113644919736 2539.8576780232784 0 0 0
1279.1332875323408 2040.3286519854848 2539.8576780232784 0 0 0
1279.424750000681 2040.1458978396363 2539.8576780232784 0 0 0
1279.7161863583121 2039.9631020581567 2539.8576780232784 0 0 0
1280.0075965992867 2039.7802646447772 2539.8576780232784 0 0 0
1280.2989807176568 2039.5973856032294 2539.8576780232784 0 0 0
1280.5903387074768 2039.414464937245 2539.8576780232784 0 0 0
1280.8816705628 2039.231502650557 2539.8576780232784 0 0 0
1281.1729762776808 2039.0484987469003 2539.8576780232784 0 0 0
1281.4642558461746 2038.8654532300086 2539.8576780232784 0 0 0
1281.755509262337 2038.6823661036183 2539.8576780232784 0 0 0
1282.046736520223 2038.4992373714654 2539.8576780232784 0 0 0
1282.3379376138905 2038.316067037287 2539.8576780232784 0 0 0
1282.629112537396 2038.1328551048216 2539.8576780232784 0 0 0
1282.9202612847967 2037.9496015778086 2539.8576780232784 0 0 0
1283.2113838501516 2037.7663064599872 2539.8576780232784 0 0 0
1283.502480227519 2037.5829697550985 2539.8576780232784 0 0 0
1283.7935504109587 2037.3995914668837 2539.8576780232784 0 0 0
1284.08459439453 2037.2161715990858 2539.8576780232784 0 0 0
1284.375612172293 2037.0327101554476 2539.8576780232784 0 0 0
1284.6666037383088 2036.8492071397131 2539.8576780232784 0 0 0
1284.9575690866393 2036.6656625556277 2539.8576780232784 0 0 0
1285.2485082113453 2036.4820764069375 2539.8576780232784 0 0 0
1285.5394211064906 2036.2984486973878 2539.8576780232784 0 0 0
1285.8303077661376 2036.1147794307274 2539.8576780232784 0 0 0
1286.121168184349 2035.9310686107044 2539.8576780232784 0 0 0
1286.4120023551905 2035.7473162410677 2539.8576780232784 0 0 0
1286.7028102727256 2035.5635223255672 2539.8576780232784 0 0 0
1286.9935919310194 2035.3796868679544 2539.8576780232784 0 0 0
1287.2843473241385 2035.1958098719806 2539.8576780232784 0 0 0
1287.5750764461477 2035.0118913413985 2539.8576780232784 0 0 0
1287.8657792911154 2034.8279312799618 2539.8576780232784 0 0 0
1288.156455853108 2034.643929691424 2539.8576780232784 0 0 0
1288.4471061261925 2034.4598865795413 2539.8576780232784 0 0 0
1288.7377301044392 2034.2758019480689 2539.8576780232784 0 0 0
1289.0283277819156 2034.0916758007636 2539.8576780232784 0 0 0
1289.3188991526906 2033.907508141384 2539.8576780232784 0 0 0
1289.609444210836 2033.7232989736874 2539.8576780232784 0 0 0
1289.8999629504215 2033.5390483014337 2539.8576780232784 0 0 0
1290.1904553655174 2033.3547561283835 2539.8576780232784 0 0 0
1290.4809214501963 2033.1704224582975 2539.8576780232784 0 0 0
1290.7713611985298 2032.9860472949376 2539.8576780232784 0 0 0
1291.0617746045905 2032.8016306420668 2539.8576780232784 0 0 0
1291.352161662452 2032.617172503448 2539.8576780232784 0 0 0
1291.6425223661874 2032.4326728828466 2539.8576780232784 0 0 0
1291.9328567098719 2032.2481317840275 2539.8576780232784 0 0 0
